id,name,gender,year_of_birth,year_of_death,city_of_birth,state_of_birth,city_of_death,state_of_death,url
0,"Abbey, Edwin Austin",M,1852,1911,Philadelphia,United States,London,United Kingdom,http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
1,"Abbott, Lemuel Francis",M,1760,1803,Leicestershire,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
2,"Agasse, Jacques Laurent",M,1767,1849,Genève,Schweiz,London,United Kingdom,http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
3,"Alken, Henry Thomas",M,1785,1851,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/henry-thomas-alken-3
4,"Allan, Sir William",M,1782,1850,Edinburgh,United Kingdom,Edinburgh,United Kingdom,http://www.tate.org.uk/art/artists/sir-william-allan-4
5,"Allen, Joseph William",M,1803,1852,Lambeth,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/joseph-william-allen-5
6,"Alma-Tadema, Sir Lawrence",M,1836,1912,Dronrijp,Nederland,Wiesbaden,Deutschland,http://www.tate.org.uk/art/artists/sir-lawrence-alma-tadema-6
7,"Amiconi, Giacomo",M,1682,1752,Napoli,Italia,Madrid,España,http://www.tate.org.uk/art/artists/giacomo-amiconi-7
8,"Anderton, Henry",M,1630,1665,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/henry-anderton-8
9,"Angellis, Peter",M,1685,1734,Dunkerque,France,Rennes,France,http://www.tate.org.uk/art/artists/peter-angellis-9
10,"Ansdell, Richard",M,1815,1885,Liverpool,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/richard-ansdell-10
11,"Armitage, Edward",M,1817,1896,London,United Kingdom,Royal Tunbridge Wells,United Kingdom,http://www.tate.org.uk/art/artists/edward-armitage-11
12,"Armstead, Henry Hugh",M,1828,1905,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/henry-hugh-armstead-12
13,"Arnald, George",M,1763,1841,Berkshire,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/george-arnald-13
14,"Atkins, Samuel",M,1787,1808,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/samuel-atkins-14
15,"Aumonier, James",M,1832,1911,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-aumonier-15
16,"Baily, Edward Hodges",M,1788,1867,Bristol,United Kingdom,Islington,United Kingdom,http://www.tate.org.uk/art/artists/edward-hodges-baily-16
18,"Barenger, James",M,1780,1831,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/james-barenger-18
19,"Barker, Thomas, of Bath",M,1769,1847,Pontypool,United Kingdom,Bath,United Kingdom,http://www.tate.org.uk/art/artists/thomas-barker-of-bath-19
20,"Barlow, Francis",M,1626,1704,Unknown,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/francis-barlow-20
21,"Barret, George, Senior",M,1728,1784,Dublin,Éire,London,United Kingdom,http://www.tate.org.uk/art/artists/george-barret-senior-21
22,"Barret, George, Junior",M,1767,1842,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/george-barret-junior-22
23,"Barron, Hugh",M,1747,1791,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/hugh-barron-23
24,"Barry, James",M,1741,1806,Cork,Éire,London,United Kingdom,http://www.tate.org.uk/art/artists/james-barry-24
25,"Bateman, James",M,1815,1849,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-bateman-25
26,"Bates, Harry",M,1850,1899,Stevenage,United Kingdom,Saint John's Wood,United Kingdom,http://www.tate.org.uk/art/artists/harry-bates-26
27,"Beach, Thomas",M,1738,1806,Dorset,United Kingdom,Dorchester,Unknown,http://www.tate.org.uk/art/artists/thomas-beach-27
28,"Beare, George",M,1743,1749,Unknown,Unknown,Andover,United Kingdom,http://www.tate.org.uk/art/artists/george-beare-28
29,"Beaumont, Sir George Howland, Bt",M,1753,1827,Great Dunmow,United Kingdom,Leicestershire,United Kingdom,http://www.tate.org.uk/art/artists/sir-george-howland-beaumont-bt-29
